r,x,N
0.25,1.0,99
0.25,0.0,1
1.0,1.0,85
1.0,0.0,15
2.0,1.0,81
2.0,0.0,19
8.0,0.0,29
8.0,1.0,71
7.0,1.0,74
7.0,0.0,26
6.0,1.0,71
6.0,0.0,29
0.5,1.0,95
0.5,0.0,5
4.0,1.0,72
4.0,0.0,28
3.0,1.0,80
3.0,0.0,20
0.11,1.0,94
0.11,0.89,1
0.11,0.97,2
0.11,0.72,1
0.11,0.99,1
0.11,0.93,1
5.0,1.0,78
5.0,0.0,22
9.0,1.0,77
9.0,0.0,23
0.0,0.59,3
0.0,0.58,8
0.0,0.54,7
0.0,0.53,8
0.0,0.51,11
0.0,0.62,2
0.0,0.5,7
0.0,0.52,6
0.0,0.56,6
0.0,0.44,2
0.0,0.49,5
0.0,0.71,1
0.0,0.43,1
0.0,0.46,4
0.0,0.45,3
0.0,0.47,4
0.0,0.61,2
0.0,0.57,6
0.0,0.55,6
0.0,0.48,3
0.0,0.63,2
0.0,0.6,2
0.0,0.64,1
